Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Instructor
How to create <anything> in Android,free,Learn to implement the newest Android user interface components while building apps in Android Studio.,beginner,4 Weeks,4.4,56,"Android, UI, App Development","HTML, CSS, Basic JavaScript, JSON",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Introduction to Graduate Algorithms,free,Learn advanced techniques for designing algorithms and apply them to hard computational problems.,advanced,3 Weeks,4.4,88,"Android, UI, App Development","HTML, CSS, Basic JavaScript, JSON",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Dynamic Web Applications with Sinatra,free,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.",intermediate,2 Weeks,4.4,88,"Ruby, Sinatra, Building web applications","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
How to Make a Platformer Using libGDX,free,"This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.",intermediate,8 Weeks,4.4,88,"LibGDX, Game Development, Asset management","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
JavaScript Testing,free,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.,intermediate,2 Weeks,4.4,88,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow","HTML, CSS, Basic JavaScript, JSON",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Object-Oriented JavaScript,free,,intermediate,3 Weeks,4.4,88,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance","Word Processors, Spreadsheets, Presentation Tools",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Localization Essentials,free,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.",beginner,2 Weeks,4.4,88,"Localization, Google Translator Toolkit, Localization at Google","Word Processors, Spreadsheets, Presentation Tools",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
Compilers: Theory and Practice,free,This course teaches the theory and practice behind building compilers for higher level programming languages.,intermediate,,4.4,1000,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis","Word Processors, Spreadsheets, Presentation Tools",https://pngimg.com/d/mark_zuckerberg_PNG36.png
HTML5 Canvas,free,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.,beginner,2 Weeks,4.4,1000,"HTML5 Canvas, Canvas2D, Creating animation","Word Processors, Spreadsheets, Presentation Tools",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Object Oriented Programming in Java,free,Learn how to apply powerful object-oriented programming concepts in Java,intermediate,4 Weeks,4.4,1000,"Object-Oriented Programming, Java, User Interaction","Word Processors, Spreadsheets, Presentation Tools",https://pngimg.com/d/mark_zuckerberg_PNG36.png
Designing RESTful APIs,free,Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.,intermediate,3 Weeks,4.4,1000,"Flask, REST APIs, Python","Word Processors, Spreadsheets, Presentation Tools",https://pngimg.com/d/mark_zuckerberg_PNG36.png
GT - Refresher - Advanced OS,free,"This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT ""Advanced Operating Systems"" sequence.",intermediate,3 Weeks,4.4,1000,"Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking","Word Processors, Spreadsheets, Presentation Tools",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png 
Intro to JavaScript,free,"Learn the fundamentals of JavaScript, the most popular programming language in web development.",beginner,2 Weeks,4.4,1000,"JavaScript, Conditionals, Loops, Data Types & Variables","Word Processors, Spreadsheets, Presentation Tools",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Grand Central Dispatch (GCD),free,Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.,intermediate,2 Weeks,4.4,1000,"Closures, GCD","Word Processors, Spreadsheets, Presentation Tools",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Continuous Integration and Deployment,free,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.",intermediate,2 Weeks,4.4,1000,"Continuous Integration, BuddyBuild, Automated Testing","Word Processors, Spreadsheets, Presentation Tools",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Swift for Beginners,free,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.",beginner,7 Weeks,4.4,1000,"Variables and Constants, Strings, Control Flow, Functions",No Experience Required,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Intro to Statistics,free,"Get ready to analyze, visualize, and interpret data! Thought-provoking examples and chances to combine statistics and programming will keep you engaged and challenged.",beginner,2 Weeks,4.4,1000,"Probability, Descriptive Statistics, Inferential Statistics",No Experience Required,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Intro to HTML and CSS,free,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.",beginner,3 Weeks,4.4,1000,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",No Experience Required,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Introduction to Python Programming,free,"In this course, you'll learn the fundamentals of the Python programming language, along with programming best practices. Youâ€™ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. Youâ€™ll harness the power of complex data structures like lists, sets, dictionaries, and tuples to store collections of related data. Youâ€™ll define and document your own custom functions, write scripts, and handle errors. Lastly, youâ€™ll learn to find and use modules in the Python Standard Library and other third-party libraries.",beginner,5 Weeks,4.4,181,"HTML, CSS, CSS Syntax, HTML Syntax Problem Set",No Experience Required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Introduction to Virtual Reality,free,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.",beginner,2 Weeks,4.4,181,"VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS",No Experience Required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Objective-C for Swift Developers,free,"Learn the distinguishing language features of Objective-C. Practice Objective-C syntax by writing classes, and writing and calling methods.",intermediate,5 Weeks,4.4,181,"iOS, Swift, Objective-C, Control Flow Syntax",No Experience Required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Interactive 3D Graphics,free,"This course will teach you the principles of 3D computer graphics: meshes, transforms, lighting, animation, and making interactive 3D applications run in a browser.",intermediate,2 Weeks,4.5,181,"Animated 3D Demo Program, Computer Image Generation, Programming Vertex and Pixel Shaders",No Experience Required,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Full Stack Foundations,free,Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.,intermediate,3 Weeks,4.5,181,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping",No Experience Required,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png 
High Performance Computer Architecture,free,"The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.",advanced,,4.5,181,"Processor Pipelining, Branch Prediction, Instruction Scheduling, Memory Ordering, Multiprocessor Architectures",No Experience Required,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
AutoLayout,free,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.",intermediate,6 Weeks,4.5,181,"Design, UI, Stack Views, Constraints",No Experience Required,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Kotlin Bootcamp for Programmers,free,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,intermediate,2 Weeks,4.5,181,Android Development,No Experience Required,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Shell Workshop,free,"This course is intended to get you up to speed on the shell â€” using a terminal, managing files and directories, and running command-line programs.",beginner,3 Weeks,4.5,181,Unix-style command-line environment,Prior experience with Python and Machine Learning,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Core ML: Machine Learning for iOS,free,Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.,intermediate,3 Weeks,4.5,596,"iOS, Image Classification, Core ML",Prior experience with Python and Machine Learning,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Statistics,free,We live in a time of unprecedented access to information. You'll learn how to use statistics to interpret that information and make decisions.,beginner,4 Weeks,4.5,596,"Statistical Research Methods, Data Visualization, Distributions, Hypothesis Testing, Regression",Prior experience with Python and Machine Learning,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Intro to Theoretical Computer Science,free,Learn the basic concepts in theoretical computer science. Discover what they imply for solving tough computational challenges.,intermediate,2 Weeks,4.5,596,"theoretical computer science, NP-completeness, Recognizing algorithmic problems, Solving algorithmic problems",Prior experience with Python and Machine Learning,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Design of Computer Programs,free,"Learn how to model problems, and how to optimize performance by using some of the advanced features of Python.",advanced,2 Weeks,4.5,596,"Computer Program Design, Python, Design Process",Prior experience with Python and Machine Learning,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Data Wrangling with MongoDB,free,"Data Scientists spend most of their time cleaning data. In this course, you will learn to convert and manipulate messy data to extract what you need.",intermediate,2 Weeks,4.5,596,"Gathering Data, Assessing Data, Cleaning Data, Data Wrangling, MongoDB",Prior experience with Python and Machine Learning,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Swift for Developers,free,Get a quick practical introduction to Swift programming basics and build your first iOS app!,beginner,7 Weeks,4.5,596,"Variables and Constants, Strings, Control Flow, Functions",Prior experience with Python and Machine Learning,https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Firebase in a Weekend: Android,free,This course will teach you when and why to choose Firebase as a backend for your Android application.,intermediate,2 Weeks,4.5,596,Android Development,Prior experience with Python and Machine Learning,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Software Debugging,free,In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.,intermediate,2 Weeks,4.5,596,"Debugging, Python, Automated Debugging",Prior experience with Python and Machine Learning,https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Deploying a Hadoop Cluster,free,Deploy your own Hadoop cluster to crunch some big data!,intermediate,3 Weeks,4.5,958,"Data Analysis, Hadoop, MapReduce",Prior experience with Python and Machine Learning,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Server-Side Swift,free,"In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.",intermediate,2 Weeks,4.5,958,"Swift Package Manager, MySQL, Docker, Terraform, Microservices","Python, SQL & Statistics",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Networking for Web Developers,free,You've used the Internet. Now find out more about how it works.,beginner,2 Weeks,4.5,958,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/isabela.jpg
Database Systems Concepts & Design,free,This course presents an example of applying a database application development methodology to a major real-world project.,intermediate,16 Weeks,4.5,958,"Database Management Systems, Relational Algebra, Sequential Query Language, Data Indexing, SQL Injection","Python, SQL & Statistics",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Intro to Physics,free,"Go to the places where big physics discoveries were made in the past and make them yourself. Youâ€™ll visit Italy, the Netherlands, and the UK as you learn basic physics.",beginner,2 Weeks,4.5,958,"Kinematics, Dynamics, Trigonometry, Periodic Motion, Electricity","Python, SQL & Statistics",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Intro to Relational Databases,free,Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.,intermediate,4 Weeks,4.5,958,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements","Python, SQL & Statistics",https://en.wikipedia.org/wiki/Man#/media/File:Outdoors-man-portrait_(cropped).jpg
ES6 - JavaScript Improved,free,Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.,advanced,4 Weeks,4.5,958,"JavaScript, ES6, Syntax, Functions","Python, SQL & Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Mobile Design and Usability for iOS,free,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.",intermediate,2 Weeks,4.5,958,"Product Design, Prototyping","Python, SQL & Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Intro to AJAX,free,"Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!",intermediate,2 Weeks,4.1,958,"Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization","Python, SQL & Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Intro to Algorithms,free,"This class will give you an introduction to the design and analysis of algorithms, enabling you to analyze networks and discover how individuals are connected.",intermediate,4 Weeks,4.1,584,"Algorithms, Social Networks, Graph Algorithms","Python, SQL & Statistics",https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
The MVC Pattern in Ruby,free,"In this course youâ€™ll learn how to organize your code, and why thatâ€™s important. Youâ€™ll be using the MVC Design Pattern in the web application micro-framework Sinatra.",intermediate,3 Weeks,4.1,584,"Ruby, Sinatra, MVC Design Pattern, Writing organized code","Python, SQL & Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
WeChat Mini Program Development,free,"Developed by Tencent and Udacity, this course will teach you to build your first Mini Program.",beginner,4 Weeks,4.1,584,"Ruby, Sinatra, MVC Design Pattern, Writing organized code","Python, SQL & Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Asynchronous JavaScript Requests,free,Learn how to asynchronously request data in your web applications with Ajax.,intermediate,3 Weeks,4.1,584,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch","Python, SQL & Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg
Embedded Systems,free,"This course takes a holistic view of the embedded system stack focusing on processor architectures, instruction sets, and the associated advanced compiler optimizations.",intermediate,16 Weeks,4.1,584,"VLIW Architecture, Compilers for Embedded Systems, Differential Register Allocation, Network Processors, Multithreaded Processing","Python, SQL & Statistics",https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
High Performance Computing,free,"This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220",advanced,4 Weeks,4.1,584,"Shared Memory Models, Parallel Algorithms, Distributed Memory Models, Message Passing Interfaces, Hierarchical Memory Models","Python, SQL & Statistics",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
HTTP & Web Servers,free,HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.,intermediate,3 Weeks,4.1,584,"HTTP, Python, Deploying services","Intermediate Python, intermediate SQL & command line",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Advanced Android with Kotlin,free,Develop Feature-Rich Android Apps with the Kotlin Programming Language.,intermediate,2 Weeks,4.1,584,"Kotlin, Android","Intermediate Python, intermediate SQL & command line",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
"Computability, Complexity & Algorithms",free,Learn tools and techniques that will help you recognize when problems you encounter are intractable and when there an efficient solution.,advanced,,4.1,584,"Kotlin, Android","Intermediate Python, intermediate SQL & command line",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Advanced Operating Systems,free,,advanced,5 Weeks,4.1,465,"Operating System Kernels, Virtualization, Distributed Systems, Cloud Computing, Real-Time Operating Systems","Intermediate Python, intermediate SQL & command line",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Passwordless Login Solutions for iOS,free,"In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebookâ€™s Graph API.",intermediate,3 Weeks,4.1,465,"Account Kit, Facebook SDK, Graph API","Intermediate Python, intermediate SQL & command line",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Version Control with Git,free,"Learn how to use Git, a popular Version Control System and essential tool for any developer.",beginner,4 Weeks,4.1,465,"Git, Version Control, Creating a Git repo, Editing commits","Intermediate Python, intermediate SQL & command line",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Firebase in a Weekend: iOS,free,This course will teach you when and why to choose Firebase as a backend for your iOS application.,intermediate,2 Weeks,4.1,465,Android Development,"Intermediate Python, intermediate SQL & command line",https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Intro to Point & Click App Development,free,In this short class you'll build powerful apps without writing code. Great if you're an aspiring developer or someone who wants to learn what programmers do.,beginner,3 Weeks,4.1,465,"Salesforce App Development, Schema Building, Data Modeling","Intermediate Python, intermediate SQL & command line",https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Deploying Applications with Heroku,free,Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.,intermediate,3 Weeks,4.1,465,"App Deployment, Heroku","Intermediate Python, intermediate SQL & command line",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Applied Cryptography,free,"Cryptography is present in everyday life, from paying with a credit card to using the telephone.  Learn all about making and breaking puzzles in computing.",advanced,2 Weeks,4.5,465,"Cryptography, Ciphers, Encryption","Intermediate Python, intermediate SQL & command line",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Java Programming Basics,free,"Take your first steps towards becoming a Java developer! Learn Java syntax and create conditional statements, loops, and functions.",beginner,6 Weeks,4.5,465,"Java Programming, Java Syntax, Java Functions, Loops","Intermediate Python, intermediate SQL & command line",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
C++ For Programmers,free,"This course teaches C++ to students already familiar with a programming language. Students will learn how to use header files, control flow, functions, classes.",intermediate,3 Weeks,4.5,948,"Pointers and Arrays, Control Flow, Object-Oriented Programming, C++ Templates, C++ Standard Library","Intermediate Python, intermediate SQL & command line",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Intro to Backend,free,Learn to build a multiuser blog with Google App Engine that permits users to sign in,intermediate,3 Weeks,4.5,948,"User Input, Producing templated output, Databases and data stores, Secure user account systems","Intermediate Python, intermediate SQL & command line",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Network Security,free,"This course provides an introduction to computer and network security. Students successfully completing this class will be able to evaluate works in academic and commercial security, and will have rudimentary skills in security research.",intermediate,16 Weeks,4.5,948,"Basic elements of cryptography,  cryptanalysis and systems security,  security research","Intermediate Python, intermediate SQL & command line",https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
JavaScript and the DOM,free,,intermediate,4 Weeks,4.5,948,"Basic elements of cryptography,  cryptanalysis and systems security,  security research","Intermediate Python, intermediate SQL & command line",https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Firebase Analytics: Android,free,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution",intermediate,2 Weeks,4.5,948,"Android Development, Firebase, Analytics","Intermediate Python, intermediate SQL & command line",https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Configuring Linux Web Servers,free,,,3 Weeks,4.5,948,"Android Development, Firebase, Analytics",Intermediate Programming,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
How to Make an iOS App,free,"Learn the process of building an app, taking your ideas from drawing board to App Store!",advanced,3 Weeks,4.5,948,"iOS, Ideation and Research, UI, App Store",Intermediate Programming,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Google Maps APIs,free,This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.,intermediate,2 Weeks,4.5,948,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage",Intermediate Programming,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Passwordless Login Solutions for Android,free,,,3 Weeks,4.5,948,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage",Intermediate Programming,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Mobile Design and Usability for Android,free,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.",intermediate,2 Weeks,4.5,948,"Android, Mobile Design, Usability",Intermediate Programming,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
iOS Design Patterns,free,"In this course, you'll explore iOS design patterns â€” the practical and battle-tested solutions to common problems that are used everyday by developers.",intermediate,2 Weeks,4.5,948,"Android, Mobile Design, Usability",Intermediate Programming,https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Intro to Psychology,free,Go on a journey through psychological concepts and principles to enable you to gain a more in-depth understanding of human thought and behavior.,beginner,4 Weeks,4.5,948,"Pyschology, Research Methods, Biology",Intermediate Programming,https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Engagement & Monetization | Mobile Games,free,"You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store.",beginner,3 Weeks,4.5,948,"Game Development, Monetization, Engagement",Intermediate Programming,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Intro to Data Analysis,free,"Explore a variety of datasets, posing and answering your own questions about each. You'll be using the Python libraries NumPy, Pandas, and Matplotlib.",beginner,6 Weeks,4.5,689,"Data Analysis, Python, numpy, pandas",Intermediate Programming,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
SQL for Data Analysis,free,Learn to use Structured Query Language (SQL) to extract and analyze data stored in databases,beginner,4 Weeks,4.5,689,"SQL Basics,  SQL Joins,  Data cleaning,  Aggregation",Intermediate Programming,https://www.usf.edu/engineering/cse/images/isabela.jpg
Intro to Inferential Statistics,free,Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!,beginner,2 Weeks,4.5,689,"Inferential Statistics, Hypothesis Testing, T-tests, ANOVA",Intermediate Programming,https://www.usf.edu/engineering/cse/images/goldgof-photo.jpg
Spark,free,Master how to work with big data and build machine learning models at scale using Spark!,intermediate,10 Weeks,4.5,689,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning",Intermediate Programming,https://www.usf.edu/engineering/cse/images/kjc.jpg 
Data Analysis and Visualization,free,"This course will introduce students to the field by covering stateÂ­-of-Â­the-art modeling, analysis and visualization techniques.",intermediate,16 Weeks,4.5,689,"R, Data Analysis, Data Visualization, Regression",Intermediate Programming,https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Introduction to Digital Project Management,free,"This course introduces the field of digital project management, while diving into relevant career paths and what exactly those paths entail. It also covers the basic structure on which digital projects are formed.",beginner,3 Weeks,4.5,689,"Digital project management basics,  project management skills,   project management lifecycle",Intermediate Programming,https://www.usf.edu/engineering/cse/images/isabela.jpg
Getting Started with Google Workspace,free,"Learn how to manage mail and schedules effectively. Create, manage and, share content in Google Drive and become more productive through the use of the collaboration features that are an integral and defining part of Google Workspace.",beginner,2 Weeks,4.5,689,"Gmail,  Google Calendar,  Google Drive,  Google Docs,  Google Slides,  Google Meet,  Google Chat,  Google Forms,  Intermediate Spreadsheet Use,  Basic Spreadsheet Use","Python, SQL & Statistics",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Rapid Prototyping,free,Learning to prototype will save you time and money in the development process. Youâ€™ll create quality apps faster and have confidence in the viability of your products.,intermediate,3 Weeks,4.4,689,"Prototyping, User Research, inVision","Python, SQL & Statistics",https://upload.wikimedia.org/wikipedia/commons/5/5f/Kristin_Wiig_2013.jpg
Creating an Analytical Dataset,free,Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.,beginner,2 Weeks,4.4,689,"Data Issues, Data Formatting, Data Blending","Python, SQL & Statistics",https://wikibio.in/wp-content/uploads/2018/07/Mankirt-Aulakh.jpg
Problem Solving with Advanced Analytics,free,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context.",beginner,2 Weeks,4.4,472,Linear Regression,"Python, SQL & Statistics",https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg
Classification Models,free,Learn how to use classification predictive models to solve business problems involving non-numeric data.,intermediate,2 Weeks,4.4,472,"Binary Classication Models, Non-Binary Classification Models","Python, SQL & Statistics",https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Product Design,free,"Learn product validation, UI/UX practices, Googleâ€™s Design Sprint and the process for setting and tracking actionable metrics.",intermediate,2 Weeks,4.4,472,"Product Design, Design Sprints, Ideation and Validation, UI/UX","Python, SQL & Statistics",https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
